Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,10-06-2013,tot:,18-12-2020,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D2737,001,,157642,433072,514,10-06-2013,10-06-2013,18-12-2020,509,-6,-334,-434


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D2737,001,05-12-2013,135,141,374,,,,,,
B39D2737,001,06-12-2013,141,147,368,,,,,,
B39D2737,001,07-12-2013,140,146,369,,,,,,
B39D2737,001,08-12-2013,142,148,367,,,,,,
B39D2737,001,09-12-2013,144,150,365,,,,,,
B39D2737,001,10-12-2013,145,151,364,,,,,,
B39D2737,001,11-12-2013,146,152,363,,,,,,
B39D2737,001,12-12-2013,147,153,362,,,,,,
B39D2737,001,13-12-2013,148,154,361,,,,,,
B39D2737,001,14-12-2013,150,156,359,,,,,,
B39D2737,001,15-12-2013,150,156,359,,,,,,
B39D2737,001,16-12-2013,151,157,358,,,,,,
B39D2737,001,17-12-2013,153,159,356,,,,,,
B39D2737,001,18-12-2013,153,159,356,,,,,,
B39D2737,001,19-12-2013,156,162,353,,,,,,
B39D2737,001,20-12-2013,158,164,351,,,,,,
B39D2737,001,21-12-2013,156,162,353,,,,,,
B39D2737,001,22-12-2013,157,163,352,,,,,,
B39D2737,001,23-12-2013,156,162,353,,,,,,
B39D2737,001,24-12-2013,153,159,356,,,,,,
B39D2737,001,25-12-2013,153,159,356,,,,,,
B39D2737,001,26-12-2013,152,158,357,,,,,,
B39D2737,001,27-12-2013,149,155,360,,,,,,
B39D2737,001,28-12-2013,146,152,363,,,,,,
