Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,28-05-1986,tot:,31-12-2019,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,25-03-1986,01-03-1998,511,62,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,01-03-1998,13-04-2015,516,67,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,13-04-2015,31-12-2019,464,15,-164,-356


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D0221,001,27-02-2002,137,70,379,,,,,,
B39D0221,001,14-03-2002,169,102,347,,,,,,
B39D0221,001,28-03-2002,148,81,368,,,,,,
B39D0221,001,16-04-2002,188,121,328,,,,,,
B39D0221,001,28-04-2002,191,124,325,,,,,,
B39D0221,001,15-05-2002,174,107,342,,,,,,
B39D0221,001,28-05-2002,188,121,328,,,,,,
B39D0221,001,14-06-2002,190,123,326,,,,,,
B39D0221,001,28-06-2002,202,135,314,,,,,,
B39D0221,001,15-07-2002,208,141,308,,,,,,
B39D0221,001,29-07-2002,204,137,312,,,,,,
B39D0221,001,15-08-2002,205,138,311,,,,,,
B39D0221,001,28-08-2002,197,130,319,,,,,,
B39D0221,001,14-10-2002,207,140,309,,,,,,
B39D0221,001,28-10-2002,188,121,328,,,,,,
B39D0221,001,14-11-2002,151,84,365,,,,,,
B39D0221,001,28-11-2002,160,93,356,,,,,,
B39D0221,001,16-12-2002,182,115,334,,,,,,
B39D0221,001,15-01-2003,153,86,363,,,,,,
B39D0221,001,29-01-2003,162,95,354,,,,,,
B39D0221,001,17-02-2003,177,110,339,,,,,,
B39D0221,001,03-03-2003,199,132,317,,,,,,
B39D0221,001,14-03-2003,186,119,330,,,,,,
