Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:11:14
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb003-1,001,HBpb003-1,169967.06,433090.67,730,,792,471,394,294,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb003-1,001,2021/10/04 23:58:00,474,
HBpb003-1,001,2021/10/05 00:58:00,475,
HBpb003-1,001,2021/10/05 01:58:00,475,
HBpb003-1,001,2021/10/05 02:58:00,475,
HBpb003-1,001,2021/10/05 03:58:00,475,
HBpb003-1,001,2021/10/05 04:58:00,475,
HBpb003-1,001,2021/10/05 05:58:00,475,
HBpb003-1,001,2021/10/05 06:58:00,475,
HBpb003-1,001,2021/10/05 07:58:00,475,
HBpb003-1,001,2021/10/05 08:58:00,475,
HBpb003-1,001,2021/10/05 09:58:00,476,
HBpb003-1,001,2021/10/05 10:58:00,475,
HBpb003-1,001,2021/10/05 11:58:00,476,
HBpb003-1,001,2021/10/05 12:58:00,475,
HBpb003-1,001,2021/10/05 13:58:00,475,
HBpb003-1,001,2021/10/05 14:58:00,475,
HBpb003-1,001,2021/10/05 15:58:00,475,
HBpb003-1,001,2021/10/05 16:58:00,474,
HBpb003-1,001,2021/10/05 17:58:00,474,
HBpb003-1,001,2021/10/05 18:58:00,474,
HBpb003-1,001,2021/10/05 19:58:00,474,
HBpb003-1,001,2021/10/05 20:58:00,474,
HBpb003-1,001,2021/10/05 21:58:00,474,
HBpb003-1,001,2021/10/05 22:58:00,474,
HBpb003-1,001,2021/10/05 23:58:00,474,
HBpb003-1,001,2021/10/06 00:58:00,474,
HBpb003-1,001,2021/10/06 01:58:00,474,
HBpb003-1,001,2021/10/06 02:58:00,473,
HBpb003-1,001,2021/10/06 03:58:00,474,
HBpb003-1,001,2021/10/06 04:58:00,474,
HBpb003-1,001,2021/10/06 05:58:00,473,
