Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:10:29
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb001-1,001,HBpb001-1,169904.96,433163.6,714,,778,475,383,283,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb001-1,001,2021/10/12 08:56:00,481,
HBpb001-1,001,2021/10/12 09:56:00,481,
HBpb001-1,001,2021/10/12 10:56:00,481,
HBpb001-1,001,2021/10/12 11:56:00,481,
HBpb001-1,001,2021/10/12 12:56:00,481,
HBpb001-1,001,2021/10/12 13:56:00,480,
HBpb001-1,001,2021/10/12 14:56:00,481,
HBpb001-1,001,2021/10/12 15:56:00,480,
HBpb001-1,001,2021/10/12 16:56:00,480,
HBpb001-1,001,2021/10/12 17:56:00,480,
HBpb001-1,001,2021/10/12 18:56:00,480,
HBpb001-1,001,2021/10/12 19:56:00,479,
HBpb001-1,001,2021/10/12 20:56:00,479,
HBpb001-1,001,2021/10/12 21:56:00,479,
HBpb001-1,001,2021/10/12 22:56:00,479,
HBpb001-1,001,2021/10/12 23:56:00,479,
HBpb001-1,001,2021/10/13 00:56:00,479,
HBpb001-1,001,2021/10/13 01:56:00,479,
HBpb001-1,001,2021/10/13 02:56:00,480,
HBpb001-1,001,2021/10/13 03:56:00,479,
HBpb001-1,001,2021/10/13 04:56:00,479,
HBpb001-1,001,2021/10/13 05:56:00,479,
HBpb001-1,001,2021/10/13 06:56:00,479,
HBpb001-1,001,2021/10/13 07:56:00,479,
HBpb001-1,001,2021/10/13 08:56:00,479,
HBpb001-1,001,2021/10/13 09:56:00,479,
HBpb001-1,001,2021/10/13 10:56:00,479,
HBpb001-1,001,2021/10/13 11:56:00,478,
HBpb001-1,001,2021/10/13 12:56:00,478,
HBpb001-1,001,2021/10/13 13:56:00,478,
